Kayıt, Şehir No, Şehir, İlçe No, İlçe
1,1,Adana,1,Aladağ
2,1,Adana,2,Ceyhan
3,1,Adana,3,Çukurova
4,1,Adana,4,Feke
5,1,Adana,5,İmamoğlu
6,1,Adana,6,Karaisalı
7,1,Adana,7,Karataş
8,1,Adana,8,Kozan
9,1,Adana,9,Pozantı
10,1,Adana,10,Saimbeyli
11,1,Adana,11,Sarıçam
12,1,Adana,12,Seyhan
13,1,Adana,13,Tufanbeyli
14,1,Adana,14,Yumurtalık
15,1,Adana,15,Yüreğir
16,2,Adıyaman,1,Adıyaman
17,2,Adıyaman,2,Besni
18,2,Adıyaman,3,Çelikhan
19,2,Adıyaman,4,Gerger
20,2,Adıyaman,5,Gölbaşı
21,2,Adıyaman,6,Kâhta
22,2,Adıyaman,7,Samsat
23,2,Adıyaman,8,Sincik
24,2,Adıyaman,9,Tut
25,3,Afyonkarahisar,1,Afyonkarahisar
26,3,Afyonkarahisar,2,Başmakçı
27,3,Afyonkarahisar,3,Bayat
28,3,Afyonkarahisar,4,Bolvadin
29,3,Afyonkarahisar,5,Çay
30,3,Afyonkarahisar,6,Çobanlar
31,3,Afyonkarahisar,7,Dazkırı
32,3,Afyonkarahisar,8,Dinar
33,3,Afyonkarahisar,9,Emirdağ
34,3,Afyonkarahisar,10,Evciler
35,3,Afyonkarahisar,11,Hocalar
36,3,Afyonkarahisar,12,İhsaniye
37,3,Afyonkarahisar,13,İscehisar
38,3,Afyonkarahisar,14,Kızılören
39,3,Afyonkarahisar,15,Sandıklı
40,3,Afyonkarahisar,16,Sinanpaşa
41,3,Afyonkarahisar,17,Sultandağı
42,3,Afyonkarahisar,18,Şuhut
43,4,Ağrı,1,Ağrı
44,4,Ağrı,2,Diyadin
45,4,Ağrı,3,Doğubayazıt
46,4,Ağrı,4,Eleşkirt
47,4,Ağrı,5,Hamur
48,4,Ağrı,6,Patnos
49,4,Ağrı,7,Taşlıçay
50,4,Ağrı,8,Tutak
51,5,Aksaray,1,Aksaray
52,5,Aksaray,2,Ağaçören
53,5,Aksaray,3,Eskil
54,5,Aksaray,4,Gülağaç
55,5,Aksaray,5,Güzelyurt
56,5,Aksaray,6,Ortaköy
57,5,Aksaray,7,Sarıyahşi
58,5,Aksaray,8,Sultanhanı
59,6,Amasya,1,Amasya
