Kayıt, Şehir No, Şehir, İlçe No, İlçe,Türk Alfabe Sıralaması
1,1,Adana,1,Aladağ,32 ► 5
2,1,Adana,2,Ceyhan,65 ► 11 ► 2
3,1,Adana,3,Çukurova,135 ► 9
4,1,Adana,4,Feke,33 ► 6
5,1,Adana,5,İmamoğlu,112 ► 4
6,1,Adana,6,Karaisalı,97 ► 16 ► 7
7,1,Adana,7,Karataş,85 ► 13 ► 4
8,1,Adana,8,Kozan,79 ► 16 ► 7
9,1,Adana,9,Pozantı,120 ► 3
10,1,Adana,10,Saimbeyli,112 ► 4
11,1,Adana,11,Sarıçam,76 ► 13 ► 4
12,1,Adana,12,Seyhan,84 ► 12 ► 3
13,1,Adana,13,Tufanbeyli,136 ► 10 ► 1
14,1,Adana,14,Yumurtalık,180 ► 9
15,1,Adana,15,Yüreğir,122 ► 5
16,2,Adıyaman,1,Adıyaman,80 ► 8
17,2,Adıyaman,2,Besni,58 ► 13 ► 4
18,2,Adıyaman,3,Çelikhan,78 ► 15 ► 6
19,2,Adıyaman,4,Gerger,70 ► 7
20,2,Adıyaman,5,Gölbaşı,79 ► 16 ► 7
21,2,Adıyaman,6,Kâhta,Â (1 karakter yöntemlerde tanımsız)
22,2,Adıyaman,7,Samsat,86 ► 14 ► 5
23,2,Adıyaman,8,Sincik,78 ► 15 ► 6
24,2,Adıyaman,9,Tut,73 ► 10 ► 1
25,3,Afyonkarahisar,1,Afyonkarahisar,173 ► 11 ► 2
26,3,Afyonkarahisar,2,Başmakçı,72 ► 9
27,3,Afyonkarahisar,3,Bayat,56 ► 11 ► 2
28,3,Afyonkarahisar,4,Bolvadin,96 ► 15 ► 6
29,3,Afyonkarahisar,5,Çay,33 ► 6
30,3,Afyonkarahisar,6,Çobanlar,79 ► 16 ► 7
31,3,Afyonkarahisar,7,Dazkırı,92 ► 11 ► 2
32,3,Afyonkarahisar,8,Dinar,55 ► 10 ► 1
33,3,Afyonkarahisar,9,Emirdağ,69 ► 15 ► 6
34,3,Afyonkarahisar,10,Evciler,89 ► 17 ► 8
35,3,Afyonkarahisar,11,Hocalar,69 ► 15 ► 6
36,3,Afyonkarahisar,12,İhsaniye,107 ► 8
37,3,Afyonkarahisar,13,İscehisar,108 ► 9
38,3,Afyonkarahisar,14,Kızılören,143 ► 8
39,3,Afyonkarahisar,15,Sandıklı,96 ► 15 ► 6
40,3,Afyonkarahisar,16,Sinanpaşa,113 ► 5
41,3,Afyonkarahisar,17,Sultandağı,130 ► 4
42,3,Afyonkarahisar,18,Şuhut,107 ► 8
43,4,Ağrı,1,Ağrı,42 ► 6
44,4,Ağrı,2,Diyadin,78 ► 15 ► 6
45,4,Ağrı,3,Doğubayazıt,153 ► 9
46,4,Ağrı,4,Eleşkirt,120 ► 3
47,4,Ağrı,5,Hamur,73 ► 10 ► 1
48,4,Ağrı,6,Patnos,102 ► 3
49,4,Ağrı,7,Taşlıçay,107 ► 8
50,4,Ağrı,8,Tutak,88 ► 16 ► 7
51,5,Aksaray,1,Aksaray,88 ► 16 ► 7
52,5,Aksaray,2,Ağaçören,78 ► 15 ► 6
53,5,Aksaray,3,Eskil,68 ► 14 ► 5
54,5,Aksaray,4,Gülağaç,64 ► 10 ► 1
55,5,Aksaray,5,Güzelyurt,182 ► 11 ► 2
56,5,Aksaray,6,Ortaköy,125 ► 8
57,5,Aksaray,7,Sarıyahşi,128 ► 11 ► 2
58,5,Aksaray,8,Sultanhanı,143 ► 8
59,6,Amasya,1,Amasya,69 ► 15 ► 6
60,6,Amasya,2,Göynücek,121 ► 4
61,6,Amasya,3,Gümüşhacıköy,185 ► 14 ► 5
62,6,Amasya,4,Hamamözü,118 ► 10 ► 1
63,6,Amasya,5,Merzifon,125 ► 8
64,6,Amasya,6,Suluova,133 ► 7
65,6,Amasya,7,Taşova,94 ► 13 ► 4
66,7,Ankara,1,Akyurt,113 ► 5
67,7,Ankara,2,Altındağ,83 ► 11 ► 2
68,7,Ankara,3,Ayaş,53 ► 8
69,7,Ankara,4,Balâ,Â (1 karakter yöntemlerde tanımsız)
70,7,Ankara,5,Beypazarı,119 ► 11 ► 2
71,7,Ankara,6,Çamlıdere,85 ► 13 ► 4
72,7,Ankara,7,Çankaya,66 ► 12 ► 3
73,7,Ankara,8,Çubuk,70 ► 7
74,7,Ankara,9,Elmadağ,53 ► 8
75,7,Ankara,10,Etimesgut,142 ► 7
76,7,Ankara,11,Evren,77 ► 14 ► 5
77,7,Ankara,12,Gölbaşı,79 ► 16 ► 7
78,7,Ankara,13,Güdül,80 ► 8
79,7,Ankara,14,Haymana,74 ► 11 ► 2
80,7,Ankara,15,Kalecik,64 ► 10 ► 1
81,7,Ankara,16,Kahramankazan,143 ► 8
82,7,Ankara,17,Keçiören,98 ► 17 ► 8
83,7,Ankara,18,Kızılcahamam,128 ► 11 ► 2
84,7,Ankara,19,Mamak,48 ► 12 ► 3
85,7,Ankara,20,Nallıhan,87 ► 15 ► 6
86,7,Ankara,21,Polatlı,104 ► 5
87,7,Ankara,22,Pursaklar,140 ► 5
88,7,Ankara,23,Sincan,71 ► 8
89,7,Ankara,24,Şereflikoçhisar,190 ► 10 ► 1
90,7,Ankara,25,Yenimahalle,126 ► 9
91,8,Antalya,1,Akseki,68 ► 14 ► 5
92,8,Antalya,2,Aksu,62 ► 8
93,8,Antalya,3,Alanya,63 ► 9
94,8,Antalya,4,Demre,54 ► 9
95,8,Antalya,5,Döşemealtı,126 ► 9
96,8,Antalya,6,Elmalı,64 ► 10 ► 1
97,8,Antalya,7,Finike,66 ► 12 ► 3
98,8,Antalya,8,Gazipaşa,94 ► 13 ► 4
99,8,Antalya,9,Gündoğmuş,147 ► 12 ► 3
100,8,Antalya,10,İbradı,52 ► 7
101,8,Antalya,11,Kaş,38 ► 11 ► 2
102,8,Antalya,12,Kemer,63 ► 9
103,8,Antalya,13,Kepez,75 ► 12 ► 3
104,8,Antalya,14,Konyaaltı,129 ► 12 ► 3
105,8,Antalya,15,Korkuteli,148 ► 13 ► 4
106,8,Antalya,16,Kumluca,99 ► 18 ► 9
107,8,Antalya,17,Manavgat,95 ► 14 ► 5
108,8,Antalya,18,Muratpaşa,132 ► 6
109,8,Antalya,19,Serik,74 ► 11 ► 2
110,9,Ardahan,1,Ardahan,56 ► 11 ► 2
111,9,Ardahan,2,Çıldır,67 ► 13 ► 4
112,9,Ardahan,3,Damal,38 ► 11 ► 2
113,9,Ardahan,4,Göle,48 ► 12 ► 3
114,9,Ardahan,5,Hanak,43 ► 7
115,9,Ardahan,6,Posof,85 ► 13 ► 4
